=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 13:23:33 =~=~=~=~=~=~=~=~=~=~=~=
Time: 1366675	Period: 1180844	Veloc:  680028
Time: 1369379	Period: 1179992	Veloc:  682964
Time: 1371979	Period: 1179068	Veloc:  686112
Time: 1374580	Period: 1178140	Veloc:  689180
Time: 1377180	Period: 1177096	Veloc:  692404
Time: 1379885	Period: 1176068	Veloc:  695672
Time: 1382486	Period: 1175076	Veloc:  698876
Time: 1385085	Period: 1173948	Veloc:  702208
Time: 1387790	Period: 1172964	Veloc:  705404
Time: 1390391	Period: 1171740	Veloc:  708952
Time: 1392991	Period: 1170668	Veloc:  712180
Time: 1395592	Period: 1169640	Veloc:  715480
Time: 1398296	Period: 1168444	Veloc:  718872
Time: 1400897	Period: 1167312	Veloc:  722316
Time: 1403497	Period: 1166212	Veloc:  725720
Time: 1406098	Period: 1165016	Veloc:  729244
Time: 1408802	Period: 1163736	Veloc:  732840
Time: 1411402	Period: 1162512	Veloc:  736492
Time: 1414003	Period: 1161308	Veloc:  740028
Time: 1416708	Period: 1159968	Veloc:  743756
Time: 1419308	Period: 1158592	Veloc:  747516
Time: 1421908	Period: 1157292	Veloc:  751272
Time: 1424508	Period: 1155788	Veloc:  755012
Time: 1427213	Period: 1154252	Veloc:  758964
Time: 1429814	Period: 1152772	Veloc:  762764
Time: 1432414	Period: 1151320	Veloc:  766720
Time: 1435015	Period: 1149904	Veloc:  770708
Time: 1437719	Period: 1148276	Veloc:  774732
Time: 1440320	Period: 1146632	Veloc:  778780
Time: 1442920	Period: 1144856	Veloc:  782972
Time: 1445624	Period: 1142992	Veloc:  787372
Time: 1448225	Period: 1141468	Veloc:  791444
Time: 1450825	Period: 1139656	Veloc:  795860
Time: 1453426	Period: 1137872	Veloc:  800064
Time: 1456131	Period: 1135976	Veloc:  804472
Time: 1458731	Period: 1133920	Veloc:  809164
Time: 1461331	Period: 1131840	Veloc:  813676
Time: 1464036	Period: 1129892	Veloc:  818264
Time: 1466637	Period: 1127772	Veloc:  822920
Time: 1469237	Period: 1125356	Veloc:  827928
Time: 1471838	Period: 1123200	Veloc:  832756
Time: 1474542	Period: 1120868	Veloc:  837696
Time: 1477142	Period: 1118376	Veloc:  842808
Time: 1479743	Period: 1115736	Veloc:  847948
